Player Name,Role,Team,Base Price,Final Price
Mohit Rathee,BOWL,RCB,0.30,0.3
Vignesh Puthur,AR,MI,0.30,0.3
Ashok Sharma,BOWL,RR,0.30,0.3
Abhinandan Singh,BOWL,RCB,0.30,0.3
Lizaad Williams,BOWL,MI,0.75,0.75
Kunal Singh Rathore,BAT,RR,0.30,0.3
Madhav Tiwari,AR,DC,0.30,0.4
Tripurana Vijay,AR,DC,0.30,0.3
Bevon Jacobs,BAT,MI,0.30,0.3
Karim Janat,AR,GT,0.75,0.75
Manvanth Kumar,AR,DC,0.30,0.3
Ajay Mandal,AR,DC,0.30,0.3
Praveen Dubey,AR,PBKS,0.30,0.3
Matthew Breetzke,BAT,LSG,0.75,0.75
Sachin Baby,BAT,SRH,0.30,0.3
Arjun Tendulkar,BOWL,MI,0.30,0.3
Eshan Malinga,BOWL,SRH,0.30,1.2
Vaibhav Suryavanshi,BAT,RR,0.30,1.1
Satyanarayana Raju,BOWL,MI,0.30,0.3
Ramakrishna Ghosh,AR,CSK,0.30,0.3
Pyla Avinash,BAT,PBKS,0.30,0.3
Kamlesh Nagarkoti,AR,CSK,0.30,0.3
Yuvraj Chaudhary,AR,LSG,0.30,0.3
Lungi Ngidi,BOWL,RCB,1.00,1
Xavier Bartlett,BOWL,PBKS,0.75,0.8
Jamie Overton,AR,CSK,1.50,1.5
Prince Yadav,BOWL,LSG,0.30,0.3
Kulwant Khejroliya,BOWL,GT,0.30,0.3
Suryansh Shedge,AR,PBKS,0.30,0.3
Musheer Khan,AR,PBKS,0.30,0.3
RajÿBawa,AR,MI,0.30,0.3
Aniket Verma,BAT,SRH,0.30,0.3
Shamar Joseph,BOWL,LSG,0.75,0.75
Nathan Ellis,BOWL,CSK,1.25,2
Dushmantha Chameera,BOWL,DC,0.75,0.75
Kamindu Mendis,AR,SRH,0.75,0.75
Aaron Hardie,AR,PBKS,1.25,1.25
Brydon Carse,AR,SRH,1.00,1
Jacob Bethell,AR,RCB,1.25,2.6
Krishnan Shrijith,BAT,MI,0.30,0.3
Vipraj Nigam,AR,DC,0.30,0.5
Manoj Bhandage,AR,RCB,0.30,0.3
Priyansh Arya,AR,PBKS,0.30,3.8
Reece Topley,BOWL,MI,0.75,0.75
Kuldeep Sen,BOWL,PBKS,0.75,0.8
Kwena Maphaka,BOWL,RR,0.75,1.5
Fazalhaq Farooqi,BOWL,RR,2.00,2
Jayant Yadav,AR,GT,0.75,0.75
Mitchell Santner,AR,MI,2.00,2
Gurjapneet Singh,BOWL,CSK,0.30,2.2
Akash Singh,BOWL,LSG,0.30,0.3
Ashwani Kumar,BOWL,MI,0.30,0.3
Arshin Kulkarni,AR,LSG,0.30,0.3
Rajvardhan Hangargekar,AR,LSG,0.30,0.3
Yudhvir Singh,AR,RR,0.30,0.35
C Andre Siddarth,BAT,CSK,0.30,0.3
Harnoor Singh,BAT,PBKS,0.30,0.3
Jaydev Unadkat,BOWL,SRH,1.00,1
Nuwan Thushara,BOWL,RCB,0.75,1.6
Ishant Sharma,BOWL,GT,0.75,0.75
Umran Malik,BOWL,KKR,0.75,0.75
Spencer Johnson,BOWL,KKR,2.00,2.8
Romario Shepherd,AR,RCB,1.50,1.5
Sai Kishore,AR,GT,0.75,2
Azmatullah Omarzai,AR,PBKS,1.50,2.4
Will Jacks,AR,MI,2.00,5.25
Deepak Hooda,AR,CSK,0.75,1.7
Tim David,AR,RCB,2.00,3
Moeen Ali,AR,KKR,2.00,2
Shahbaz Ahmed,AR,LSG,1.00,2.4
Sherfane Rutherford,BAT,GT,1.50,2.6
Manish Pandey,BAT,KKR,0.75,0.75
Digvesh Rathi,BOWL,LSG,0.30,0.3
Manimaran Siddharth,BOWL,LSG,0.30,0.75
Zeeshan Ansari,BOWL,SRH,0.30,0.4
Mukesh Choudhary,BOWL,CSK,0.30,0.3
Gurnoor Brar,BOWL,GT,0.30,1.3
Vansh Bedi,BAT,CSK,0.30,0.55
Swapnil Singh,AR,RCB,0.30,0.5
Anukul Roy,AR,KKR,0.30,0.4
Darshan Nalkande,AR,DC,0.30,0.3
Arshad Khan,AR,GT,0.30,1.3
Anshul Kamboj,AR,CSK,0.30,3.4
Himmat Singh,BAT,LSG,0.30,0.3
Shaik Rasheed,BAT,CSK,0.30,0.3
Shubham Dubey,BAT,RR,0.30,0.8
Swastik Chikara,BAT,RCB,0.30,0.3
AM Ghazanfar,BOWL,MI,0.75,4.8
Lockie Ferguson,BOWL,PBKS,2.00,2
Akash Deep,BOWL,LSG,1.00,8
Deepak Chahar,BOWL,MI,2.00,9.25
Mukesh Kumar,BOWL,DC,2.00,8
Bhuvneshwar Kumar,BOWL,RCB,2.00,10.75
Gerald Coetzee,BOWL,GT,1.25,2.4
Tushar Deshpande,BOWL,RR,1.00,6.5
Donovan Ferreira,BAT,DC,0.75,0.75
Josh Inglis,BAT,PBKS,2.00,2.6
Ryan Rickelton,BAT,MI,1.00,1
Nitish Rana,AR,RR,1.50,4.2
Krunal Pandya,AR,RCB,2.00,5.75
Marco Jansen,AR,PBKS,1.25,7
Sam Curran,AR,CSK,2.00,2.4
Washington Sundar,AR,GT,2.00,3.2
Ajinkya Rahane,BAT,KKR,1.50,1.5
Faf du Plessis,BAT,DC,2.00,2
Rovman Powell,BAT,KKR,1.50,1.5
Glenn Phillips,BAT,GT,2.00,2
Shreyas Gopal,BOWL,CSK,0.30,0.3
Manav Suthar,BOWL,GT,0.30,0.3
Kumar Kartikeya,BOWL,RR,0.30,0.3
Mayank Markande,BOWL,KKR,0.30,0.3
Karn Sharma,BOWL,MI,0.50,0.5
Suyash Sharma,BOWL,RCB,0.30,2.6
Simarjeet Singh,BOWL,SRH,0.30,1.5
Yash Thakur,BOWL,PBKS,0.40,1.6
Vaibhav Arora,BOWL,KKR,0.30,1.8
Vijaykumar Vyshak,BOWL,PBKS,0.30,1.8
Mohit Sharma,BOWL,DC,0.50,2.2
Akash Madhwal,BOWL,RR,0.30,1.2
Rasikh Salam,BOWL,RCB,0.30,6
Vishnu Vinod,BAT,PBKS,0.30,0.95
Luvnith Sisodia,BAT,KKR,0.30,0.3
Aryan Juyal,BAT,LSG,0.30,0.3
Anuj Rawat,BAT,GT,0.30,0.3
Robin Minz,BAT,MI,0.30,0.65
Kumar Kushagra,BAT,GT,0.30,0.65
Ashutosh Sharma,AR,DC,0.30,3.8
Mahipal Lomror,AR,GT,0.50,1.7
Vijay Shankar,AR,CSK,0.30,1.2
Harpreet Brar,AR,PBKS,0.30,1.5
Abdul Samad,AR,LSG,0.30,4.2
Naman Dhir,AR,MI,0.30,5.25
Sameer Rizvi,AR,DC,0.30,0.95
Nishant Sindhu,AR,GT,0.30,0.3
Abhinav Manohar,BAT,SRH,0.30,3.2
Karun Nair,BAT,DC,0.30,0.5
Angkrish Raghuvanshi,BAT,KKR,0.30,3
Nehal Wadhera,BAT,PBKS,0.30,4.2
Atharva Taide,BAT,SRH,0.30,0.3
Noor Ahmad,BOWL,CSK,2.00,10
Wanindu Hasaranga,BOWL,RR,2.00,5.25
Adam Zampa,BOWL,SRH,2.00,2.4
Rahul Chahar,BOWL,SRH,1.00,3.2
Maheesh Theekshana,BOWL,RR,2.00,4.4
Trent Boult,BOWL,MI,2.00,12.5
T Natarajan,BOWL,DC,2.00,10.75
Khaleel Ahmed,BOWL,CSK,2.00,4.8
Jofra Archer,BOWL,RR,2.00,12.5
Anrich Nortje,BOWL,KKR,2.00,6.5
Avesh Khan,BOWL,LSG,2.00,9.75
Prasidh Krishna,BOWL,GT,2.00,9.5
Josh Hazlewood,BOWL,RCB,2.00,12.5
Jitesh Sharma,BAT,RCB,1.00,11
Ishan Kishan,BAT,SRH,2.00,11.25
Rahmanullah Gurbaz,BAT,KKR,2.00,2
Phil Salt,BAT,RCB,2.00,11.5
Quinton de Kock,BAT,KKR,2.00,3.6
Glenn Maxwell,AR,PBKS,2.00,4.2
Mitchell Marsh,AR,LSG,2.00,3.4
Marcus Stoinis,AR,PBKS,2.00,11
Venkatesh Iyer,AR,KKR,2.00,23.75
Ravichandran Ashwin,AR,CSK,2.00,9.75
Rachin Ravindra,AR,CSK,1.50,4
Harshal Patel,AR,SRH,2.00,8
Jake Fraser-McGurk,BAT,DC,2.00,9
Rahul Tripathi,BAT,CSK,0.75,3.4
Devon Conway,BAT,CSK,2.00,6.25
Aiden Markram,BAT,LSG,2.00,2
Devdutt Padikkal,BAT,RCB,2.00,2
Harry Brook,BAT,DC,2.00,6.25
KL Rahul,BAT,DC,2.00,14
Liam Livingstone,AR,RCB,2.00,8.75
Mohammed Siraj,BOWL,GT,2.00,12.25
Yuzvendra Chahal,BOWL,PBKS,2.00,18
David Miller,BAT,LSG,1.50,7.5
Mohammed Shami,BOWL,SRH,2.00,10
Rishabh Pant,BAT,LSG,2.00,27
Mitchell Starc,BOWL,DC,2.00,11.75
Jos Buttler,BAT,GT,2.00,15.75
Shreyas Iyer,BAT,PBKS,2.00,26.75
Kagiso Rabada,BOWL,GT,2.00,10.75
Arshdeep Singh,BOWL,PBKS,2.00,18
Prabhsimran Singh,BAT,PBKS,-,4
Shashank Singh,AR,PBKS,-,5.5
Ayush Badoni,AR,LSG,-,4
Mohsin Khan,BOWL,LSG,-,4
Mayank Yadav,BOWL,LSG,-,11
Ravi Bishnoi,BOWL,LSG,-,11
Nicholas Pooran,BAT,LSG,-,21
M Shahrukh Khan,AR,GT,-,4
Rahul Tewatia,AR,GT,-,4
Sai Sudharsan,AR,GT,-,8.5
Shubman Gill,BAT,GT,-,16.5
Rashid Khan,BOWL,GT,-,18
Sandeep Sharma,BOWL,RR,-,4
Shimron Hetmyer,BAT,RR,-,11
Dhruv Jurel,BAT,RR,-,14
Riyan Parag,AR,RR,-,14
Yashasvi Jaiswal,AR,RR,-,18
Sanju Samson,BAT,RR,-,18
Ramandeep Singh,AR,KKR,-,4
Harshit Rana,BOWL,KKR,-,4
Andre Russell,AR,KKR,-,12
Sunil Narine,BOWL,KKR,-,12
Varun Chakravarthy,AR,KKR,-,12
Rinku Singh,BAT,KKR,-,13
Abishek Porel,BAT,DC,-,4
Tristan Stubbs,BAT,DC,-,10
Kuldeep Yadav,BOWL,DC,-,13.25
Axar Patel,AR,DC,-,16.5
MS Dhoni,BAT,CSK,-,4
Shivam Dube,AR,CSK,-,12
Matheesha Pathirana,BOWL,CSK,-,13
Ravindra Jadeja,AR,CSK,-,18
Ruturaj Gaikwad,BAT,CSK,-,18
Nitish Kumar Reddy,AR,SRH,-,6
Travis Head,BAT,SRH,-,14
Abhishek Sharma,AR,SRH,-,14
Pat Cummins,AR,SRH,-,18
Heinrich Klaasen,BAT,SRH,-,23
Tilak Varma,AR,MI,-,8
Rohit Sharma,BAT,MI,-,16.3
Hardik Pandya,AR,MI,-,16.35
Suryakumar Yadav,BAT,MI,-,16.35
Jasprit Bumrah,BOWL,MI,-,18
Yash Dayal,BOWL,RCB,-,5
Rajat Patidar,BAT,RCB,-,11
Virat Kohli,BAT,RCB,-,21
